Ver. 1.0					
double	double	double	double	double	double #
223	222	224	322	224	223
223	222	224	323	224	223
224	223	224	330	224	223
223	222	224	329	225	223
224	223	224	312	224	222
224	223	224	305	224	224
224	224	224	292	224	223
223	223	224	275	224	223
225	223	224	264	224	223
223	223	224	250	225	223
223	223	224	233	225	224
223	223	224	233	225	223
223	223	224	226	224	224
223	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	224
223	222	224	226	225	223
223	223	224	226	225	223
223	223	224	226	224	223
222	224	224	226	225	223
224	223	224	226	225	224
223	223	224	226	225	224
223	223	225	226	225	223
222	223	224	226	224	224
223	223	224	226	225	223
222	223	224	226	224	223
224	223	224	226	225	225
223	223	224	226	225	223
223	223	224	226	224	223
223	223	224	226	225	223
223	223	224	226	224	223
223	223	224	226	224	223
224	223	224	226	224	224
223	222	224	226	225	224
223	223	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	225	223
224	223	224	226	225	224
223	223	224	226	224	224
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	224	224
223	223	224	226	229	302
224	222	224	226	251	327
223	222	224	225	255	357
224	222	224	225	265	314
224	222	224	226	268	297
224	222	224	226	269	288
223	223	224	226	244	279
224	223	224	226	225	260
224	223	224	226	225	238
223	223	224	226	224	241
223	223	224	226	225	251
223	223	224	226	224	239
223	223	224	225	225	234
223	223	224	226	224	240
224	223	224	226	224	241
223	223	224	226	225	253
223	223	224	226	224	273
224	223	224	226	224	273
224	223	224	226	224	272
224	223	224	226	224	254
225	223	224	226	225	229
224	223	224	226	224	258
224	222	224	226	224	240
224	223	224	226	225	224
224	223	224	226	279	223
224	223	224	226	334	223
225	222	223	225	397	222
224	221	223	225	417	223
224	222	223	225	413	222
224	221	223	225	410	223
224	223	223	225	405	222
224	222	223	225	395	222
224	222	224	225	378	222
224	223	224	225	389	223
224	222	223	225	394	222
224	222	223	225	401	223
224	222	223	225	408	223
224	222	223	225	399	221
223	222	223	225	425	222
224	221	223	225	444	222
224	222	223	225	423	223
224	222	223	225	412	222
224	222	223	225	422	222
224	222	223	225	405	222
224	222	224	225	399	222
224	222	224	225	392	223
224	222	224	225	393	222
224	222	223	225	387	222
223	223	223	225	386	223
224	222	224	225	382	223
224	222	224	225	378	223
224	222	223	225	386	223
224	222	224	225	378	222
224	223	224	226	363	223
224	222	224	226	363	223
224	223	223	226	377	222
224	222	223	225	392	222
224	222	224	225	382	223
224	222	224	225	383	223
223	222	224	225	367	223
224	222	224	225	359	222
224	223	224	226	322	223
223	223	224	226	294	223
224	223	224	226	263	224
224	223	224	226	243	224
223	223	224	226	225	223
224	223	224	226	225	223
225	223	224	226	225	223
223	223	224	226	225	224
224	223	224	226	224	224
224	223	224	226	225	223
223	223	224	226	225	223
225	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	222
224	223	224	226	224	224
224	224	224	226	225	224
225	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	224	224
224	223	224	226	225	223
225	223	224	226	225	224
224	223	224	226	225	235
224	222	224	226	224	248
224	223	224	226	224	253
224	223	224	226	224	280
224	223	224	226	224	296
224	223	224	226	224	307
224	223	224	226	224	310
224	222	224	226	224	326
224	222	223	225	224	347
224	222	224	226	224	341
224	223	224	226	224	337
225	223	224	225	224	364
223	222	224	225	224	392
224	222	224	225	223	392
224	222	224	225	223	387
224	222	224	225	224	369
223	222	224	226	224	373
225	223	224	225	224	378
224	222	224	225	224	378
224	222	223	225	223	410
224	222	223	225	224	409
224	222	224	225	224	385
224	222	223	225	224	404
224	222	224	225	224	372
224	222	224	226	224	356
224	222	224	225	224	360
